Cartera,Subdirección,Zona,Sucursal,Corte,Plazo,Suma de Monto,Capital,Interes,Total,Tasa de Ganancia,Vales
Vale Amigo,Baja Sonora Norte,Baja Norte,Tijuana 2,07/06/2026,12,24996000,24996000,13655480,38651480,54.63%,3114
Vale Amigo,Baja Sonora Norte,Mexicali,Mexicali,07/06/2026,12,14011000,14011000,7645424,21656424,54.57%,1775
Vale Amigo,Baja Sonora Norte,Mexicali,Puerto Peñasco,07/06/2026,12,14915000,14915000,8129356,23044356,54.50%,1933
Vale Amigo,Baja Sonora Norte,Mexicali,San Luis Rio Colorado,07/06/2026,12,33514000,33514000,18302556,51816556,54.61%,4184
Vale Amigo,Bajio,Digital Tecuala,Rosa Morada Digital,07/06/2026,12,224000,224000,122560,346560,54.71%,32
Vale Amigo,Bajio,Digital Tecuala,Ruiz Digital,07/06/2026,12,252000,252000,138216,390216,54.85%,34
Vale Amigo,Bajio,Digital Tecuala,Tecuala Digital,07/06/2026,12,7417000,7417000,3989032,11406032,53.78%,945
Vale Amigo,Bajio,Digital Tecuala,Tuxpan Nayarit Digital,07/06/2026,12,255000,255000,138996,393996,54.51%,37
Vale Amigo,Bajio,Durango,Durango,07/06/2026,12,56829000,56829000,30533540,87362540,53.73%,7350
Vale Amigo,Bajio,Durango,El Salto,07/06/2026,12,16730000,16730000,9137580,25867580,54.62%,2067
Vale Amigo,Bajio,Morelia,Celaya,07/06/2026,12,53805000,53805000,29204720,83009720,54.28%,6964
Vale Amigo,Bajio,Morelia,Ejecutivo Patzcuaro,07/06/2026,12,61000,61000,33260,94260,54.52%,9
Vale Amigo,Bajio,Morelia,Irapuato,07/06/2026,12,13212000,13212000,7180456,20392456,54.35%,1746
Vale Amigo,Bajio,Morelia,Morelia,07/06/2026,12,41825000,41825000,22633748,64458748,54.12%,5436
Vale Amigo,Bajio,Morelia,Uruapan,07/06/2026,12,38102000,38102000,20532488,58634488,53.89%,4985
